well_id,contact_id,well_name,longitude,latitude,apn,county,subbasin_num,subbasin,status,de_minimis,pws,has_wcr,gw_recordation,max_prod_gpm,year_pumping,total_depth_ft,screen_top_ft,screen_bottom_ft,casing_in,purpose,purpose_all,irr_acreage,irr_method,pou_count,pou_apns,method,ext_total_af,ext_flag,ext_tule_wy2025,ext_tl_partial2025,ext_tl_partial2024,ext_monthly,owner_total_af,owner_num_wells
53803,38303,South Cooper - #2 (30550),-119.206109,35.989813,300180001,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,367,1992,,,,,Irrigated Agriculture,Irrigated Agriculture,316.0,Drip/Micro,5,300170008; 300170009; 300180001; 300180002; 300180003,Certified Meter,85.5,,85.5,,,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.6|20.7|12.4|24.6|9.5|4.4|1.3|0.0,8557.8,131
53805,38303,S. Cooper - #1 (27309),-119.206240,35.986362,300180001,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,462,1992,,,,,Irrigated Agriculture,Irrigated Agriculture,316.0,Drip/Micro,6,300180001; 300180002; 300180003; 300180019; 300180020; 300180029,Certified Meter,196.9,,196.9,,,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.8|20.8|44.0|41.5|16.8|33.2|22.2|15.2|0.4|0.0,8557.8,131
53806,38303,Carol - #2 (42770),-119.205973,35.982450,300180029,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,612,2009,,,,,Irrigated Agriculture,Irrigated Agriculture,156.0,Drip/Micro,3,300180019; 300180020; 300180029,Certified Meter,105.0,,105.0,,,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|27.6|23.3|11.0|20.4|15.5|7.0|0.3|0.0,8557.8,131
53807,38303,Carol - #1 (27419),-119.205918,35.979937,300180029,Tulare,5-022.13,Tule,Inactive,FALSE,FALSE,FALSE,FALSE,457,1992,,,,,Irrigated Agriculture,Irrigated Agriculture,156.0,Drip/Micro,3,300180019; 300180020; 300180029,Certified Meter,,,,,,,8557.8,131
53808,38303,E. Long Camp - #1 (27911),-119.205920,35.973537,300210002,Tulare,5-022.13,Tule,Inactive,FALSE,FALSE,FALSE,FALSE,561,1992,,,,,Irrigated Agriculture,Irrigated Agriculture,244.0,Drip/Micro,3,300210002; 300210029; 300220003,Unmetered/Estimated,,,,,,,8557.8,131
53810,38303,Back Camp - #1 (45939),-119.215031,35.970430,300220003,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,1788,2017,,,,,Irrigated Agriculture,Irrigated Agriculture,480.0,Drip/Micro,3,300210002; 300210029; 300220003,Unmetered/Estimated,688.0,,688.0,,,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|16.0|17.0|164.4|163.3|73.2|88.3|111.2|50.5|4.0|0.0,8557.8,131
53811,38303,W. Long Camp - #1 (20466),-119.214985,35.973580,300220003,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,551,1992,,,,,Irrigated Agriculture,Irrigated Agriculture,480.0,Drip/Micro,3,300210002; 300210029; 300220003,Certified Meter,215.7,,215.7,,,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|18.8|40.8|34.2|13.3|29.2|24.1|11.3|20.2|23.9,8557.8,131
53812,38303,W. Long Camp - #2 (35205),-119.214897,35.978212,300220003,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,1200,2004,,,,,Irrigated Agriculture,Irrigated Agriculture,480.0,Drip/Micro,3,300210002; 300210029; 300220003,Certified Meter,255.1,,255.1,,,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|69.2|57.6|22.5|48.0|43.8|12.0|0.5|1.6,8557.8,131
53813,38303,Cattle Ranch - #1 (41947),-119.214979,35.986160,300290003,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,1652,2007,,,,,Irrigated Agriculture,Irrigated Agriculture,196.0,Drip/Micro,3,300290003; 300300004; 300300005,Certified Meter,368.1,,368.1,,,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|16.0|48.3|86.6|111.8|73.8|15.8|15.1|0.1|0.6,8557.8,131
53814,38303,Cattle Ranch - Corrals Pump (20128),-119.214895,35.993492,300240014,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,166,1992,,,,,Livestock,Livestock,,,1,300240014,Unmetered/Estimated,2.9,,2.9,,,0.0|0.0|0.0|0.0|0.0|0.0|0.2|0.2|0.2|0.2|0.2|0.2|0.2|0.2|0.2|0.2|0.2|0.2,8557.8,131
